CompanyId,ShareClassId,Symbol,ExchangeId,CurrencyId,Valoren,CUSIP,ISIN,IPODate,IsDepositaryReceipt,DepositaryReceiptRatio,SecurityType,ShareClassDescription,ShareClassStatus,IsPrimaryShare,IsDividendReinvest,IsDirectInvest,InvestmentId,IPOOfferPrice,DelistingDate,DelistingReason,MIC,CommonShareSubType,IPOOfferPriceRange,ExchangeSubMarketGlobalId,ConversionRatio,ActiveOrDelisted
0C00000LY1,0P0000PWGC,MLT,ASX,AUD,,,AU000000MLT5,1962-04-17,0,,ST00000001,,D,1,0,,F00000JS4M,,2021-06-10,Dissolution of Company,XASX,Closed End Fund,,,1.000000000,Delisted
0C00000LY2,0P00006WPH,MRE,ASX,AUD,,,AU000000MRE4,1994-03-17,0,,ST00000001,,D,0,,,E0AUS04AMQ,,2014-09-25,Acquired,XASX,,,,1.000000000,Delisted
0C00000LY3,0P00006WPI,MCR,ASX,AUD,,,AU000000MCR8,1997-06-16,0,,ST00000001,,D,0,0,,E0AUS01Q9K,,2023-07-27,Other events,XASX,,,,1.000000000,Delisted
0C00000LY5,0P0001Q0SV,AEVO,ASX,AUD,,,AU0000249963,2022-11-09,0,,ST00000008,Warrants (31/10/2025),D,0,,,F00001EOFB,,2025-10-27,Other events,XASX,,,,,Delisted
0C00000LY7,0P00006WPK,MDL,ASX,AUD,,,AU000000MDL9,1997-03-10,0,,ST00000001,,D,0,0,,E0AUS00X93,,2019-02-04,Other events,XASX,,,,1.000000000,Delisted
0C00000LY9,0P0000A112,MXX,ASX,AUD,,,AU000000MXX2,,1,1.000000000,ST00000001,,D,0,,,E0AUS01C0C,,2007-07-02,Acquired,XASX,,,,1.000000000,Delisted
0C00000LYA,0P00006WPM,MSM,ASX,AUD,,,AU000000MSM5,1996-11-20,0,,ST00000001,,D,0,0,,E0AUS00UTK,,2021-12-01,Other events,XASX,,,,1.000000000,Delisted
0C00000LYC,0P00006Y36,MEP,ASX,AUD,,,AU000000MEP8,2005-02-24,0,,ST00000001,,D,0,0,,F00000019P,,2022-03-10,Other events,XASX,,,,1.000000000,Delisted
0C00000LYD,0P00006WPN,MNR,ASX,AUD,,,AU000000MNR5,2000-12-21,0,,ST00000001,,D,1,,,E0AUS01CVD,,2010-04-29,Other events,XASX,,,,1.000000000,Delisted
0C00000LYF,0P00006Y38,MBN,ASX,AUD,,,AU000000MBN9,2004-07-15,0,,ST00000001,,D,0,0,,F00000019N,,2016-10-04,Other events,XASX,,,,1.000000000,Delisted
0C00000LYG,0P0000D61G,MIRN,ASX,AUD,,,AU00000MIRN3,2015-11-20,0,,ST00000001,,D,0,,,F000001QZV,,2016-01-19,Other events,XASX,,,,1.000000000,Delisted
0C00000LYG,0P0001MY9G,MIRNA,ASX,AUD,,,AU0000132961,2021-02-24,0,,ST00000001,New,D,0,,,F00001AROJ,,2021-07-28,Other events,XASX,,,,,Delisted
0C00000LYG,0P0001P07Z,MIRNB,ASX,AUD,,,AU0000212169,2022-04-12,0,,ST00000001,New,D,1,,,F00001DU17,,2022-07-27,Other events,XASX,,,,,Delisted
0C00000LYH,0P00006Y39,MBT,ASX,AUD,,,AU000000MBT6,2006-05-04,0,,ST00000001,,D,0,0,,F00000019M,,2021-05-18,Other events,XASX,,,,1.000000000,Delisted
0C00000LYJ,0P0001NR54,AQXO,ASX,AUD,,,AU0000186488,2021-11-10,0,,ST00000008,Warrants (05/11/2023),D,0,,,F00001CZ7J,,2023-10-30,Other events,XASX,,,,,Delisted
0C00000LYJ,0P0001QHAA,AQXOB,ASX,AUD,,,AU0000267403,2023-02-14,0,,ST00000008,Warrants (23/09/2025),D,0,,,F00001F4DD,,2025-09-17,Other events,XASX,,,,,Delisted
0C00000LYJ,0P0001QHAB,AQXOA,ASX,AUD,,,AU0000267395,2023-02-14,0,,ST00000008,Warrants (09/12/2025),D,0,,,F00001F4DE,,2025-12-04,Other events,XASX,,,,,Delisted
0C00000LYK,0P0001OB8F,ECSO,ASX,AUD,,,AU0000204174,2022-01-18,0,,ST00000008,Warrants (17/12/2023),D,0,,,F00001DD30,,2023-12-12,Other events,XASX,,,,,Delisted
0C00000LYL,0P00006WPQ,IMS,ASX,AUD,,,AU000000IMS3,2000-05-11,0,,ST00000001,,D,1,0,,E0AUS01PZN,,2023-01-02,Other events,XASX,,,,1.000000000,Delisted
0C00000LYM,0P00006WPR,CVY,ASX,AUD,,,AU000000CVY5,2000-05-02,0,,ST00000001,,D,1,,,E0AUS01J3T,,2013-01-08,Acquired,XASX,,,,1.000000000,Delisted
0C00000LYN,0P0001MFAR,ENXOA,ASX,AUD,,,AU0000140659,2021-03-18,0,,ST00000008,Warrants (31/08/2022),D,0,,,F0000170R5,,2022-08-25,Other events,XASX,,,,,Delisted
0C00000LYO,0P00006WPS,MPO,ASX,AUD,,,AU000000MPO7,1986-12-23,0,,ST00000001,,D,0,0,,E0AUS01K2P,,2021-10-11,Other events,XASX,,,,1.000000000,Delisted
0C00000LYP,0P00006Y3D,MOL,ASX,AUD,,,AU000000MOL6,2004-03-11,0,,ST00000001,,D,0,0,,F00000019I,,2019-08-28,Other events,XASX,,,,1.000000000,Delisted
0C00000LYS,0P0001MH70,WMLOB,ASX,AUD,,,AU0000095085,2020-08-11,0,,ST00000008,Warrants (30/06/2023),D,0,,,F000017289,,2023-06-28,Other events,XASX,,,,,Delisted
0C00000LYS,0P0001MM6F,WMLOC,ASX,AUD,,,AU0000155715,2021-06-02,0,,ST00000008,Warrants (31/05/2024),D,0,,,F0000175WG,,2024-05-28,Other events,XASX,,,,,Delisted
0C00000LYS,0P0001N35C,WMLOA,ASX,AUD,,,AU0000055170,2019-09-12,0,,ST00000008,Warrants (18/09/2021),D,0,,,F00001CE99,,2021-09-14,Other events,XASX,,,,,Delisted
0C00000LYU,0P000176P8,MNYN,ASX,AUD,,,AU00000MNYN9,2015-12-11,0,,ST00000001,Shs 2015-21.12.15 Issue 15,D,0,,,F00000WOO4,,2015-12-21,Assimilation,XASX,,,,1.000000000,Delisted
0C00000LYV,0P0001MFV0,FINOA,ASX,AUD,,,AU0000029621,2018-11-30,0,,ST00000008,Warrants (31/12/2021),D,0,,,F00001710C,,2021-12-23,Other events,XASX,,,,,Delisted
0C00000LYX,0P0001MFAD,NOROC,ASX,AUD,,,AU0000134330,2021-02-01,0,,ST00000008,Warrants (31/10/2021),D,0,,,F0000170QR,,2021-10-26,Other events,XASX,,,,,Delisted
0C00000LYX,0P0001RAL6,NOROD,ASX,AUD,,,AU0000285181,2023-07-07,0,,ST00000008,Warrants (31/12/2024),D,0,,,F00001GI3Y,,2024-12-30,Other events,XASX,,,,,Delisted
0C00000LZ0,0P00006WPW,MMZ,ASX,AUD,,,AU000000MMZ0,2000-06-26,0,,ST00000001,,D,0,0,,E0AUS01JL0,,2016-02-05,Other events,XASX,,,,1.000000000,Delisted
0C00000LZ1,0P00006WPX,RRP,ASX,AUD,,,AU000000RRP9,1989-11-16,0,,ST00000001,,D,1,0,,E0AUS01D7Z,,2019-01-16,Other events,XASX,,,,1.000000000,Delisted
0C00000LZ2,0P00006WPY,MOC,ASX,AUD,,,AU000000MOC5,2004-08-10,0,,ST00000001,,D,1,0,,E0AUS04BH2,,2021-07-02,Other events,XASX,,,,1.000000000,Delisted
0C00000LZ3,0P00006WPZ,MOS,ASX,AUD,,,AU000000MOS1,1989-02-23,0,,ST00000001,,D,1,,,E0AUS01CJ0,,2014-09-25,Consolidation/Exchange,XASX,,,,1.000000000,Delisted
0C00000LZ5,0P0001MH73,MTBO,ASX,AUD,,,AU0000136517,2021-02-17,0,,ST00000008,Warrants (31/05/2023),D,0,,,F00001728C,,2023-05-24,Other events,XASX,,,,,Delisted
0C00000LZ9,0P00006WQ4,MCH,ASX,AUD,,,AU000000MCH9,1975-06-30,0,,ST00000001,,D,1,0,,E0AUS01QA9,,2020-02-04,Other events,XASX,,,,1.000000000,Delisted
0C00000LZA,0P00006WQ5,MMX,ASX,AUD,,,AU000000MMX5,2005-03-31,0,,ST00000001,,D,1,0,,E0AUS04FWB,,2014-07-28,Acquired,XASX,,,,1.000000000,Delisted
0C00000LZB,0P00006WQ6,FTE,ASX,AUD,,,AU000XINEAC2,1994-10-28,0,,ST00000001,,D,0,0,,E0AUS01KJ4,,2019-01-10,Other events,XASX,,,,1.000000000,Delisted
0C00000LZC,0P00006Y3M,MYG,ASX,AUD,,,AU000000MYG5,2006-07-10,0,,ST00000001,,D,1,0,,F000000199,,2015-02-16,Acquired,XASX,,,,1.000000000,Delisted
0C00000LZD,0P00006Y3N,SYM,ASX,AUD,,,AU0000190167,2006-05-18,0,,ST00000001,,D,0,0,,F000000198,,2024-03-01,Other events,XASX,,,,1.000000000,Delisted
0C00000LZE,0P00006Y3O,NGM,ASX,AUD,,,AU000000NGM8,2004-05-03,0,,ST00000001,,D,1,,,F000000197,,2010-11-12,Acquired,XASX,,,,1.000000000,Delisted
0C00000LZF,0P00006WQ7,ELE,ASX,AUD,,,AU0000052284,1998-02-25,0,,ST00000001,,D,0,0,,E0AUS01QBF,,2025-03-18,Other events,XASX,,,,1.000000000,Delisted
0C00000LZG,0P00006Y3P,NSX,ASX,AUD,,,AU000000NSX0,2005-01-13,0,,ST00000001,,D,1,0,,F000000196,,2025-10-28,Other events,XASX,,,,1.000000000,Delisted
0C00000LZI,0P00006WQ9,NAM,ASX,AUD,,,AU000000NAM1,1998-04-06,0,,ST00000001,,D,1,0,,E0AUS01NIN,,2024-10-28,Other events,XASX,,,,1.000000000,Delisted
0C00000LZJ,0P00006Y3Q,RAP,ASX,AUD,,,AU000000RAP5,2005-01-12,0,,ST00000001,,D,0,0,,F000000195,,2022-09-28,Other events,XASX,,,,1.000000000,Delisted
0C00000LZL,0P00006WQB,NCI,ASX,AUD,,,AU000000NCI5,1984-07-12,0,,ST00000001,,D,1,,,E0AUS00KFN,,2012-06-13,Privatization,XASX,,,,1.000000000,Delisted
0C00000LZN,0P00006WQD,NHR,ASX,AUD,,,AU000000NHR5,1997-06-05,0,,ST00000001,,D,1,,,E0AUS01QAL,,2014-09-25,Acquired,XASX,,,,1.000000000,Delisted
0C00000LZO,0P00006Y3R,NLG,ASX,AUD,,,AU000000NLG0,2005-12-14,0,,ST00000001,,D,1,,,F000000194,,2012-08-31,Other events,XASX,,,,1.000000000,Delisted
0C00000LZP,0P00006WQE,NTG,ASX,AUD,,,AU000000NTG3,2000-12-14,0,,ST00000001,,D,1,,,E0AUS01DZ7,,2014-09-25,Acquired,XASX,,,,1.000000000,Delisted
0C00000LZR,0P00006WQG,NCA,ASX,AUD,,,AU000000NCA2,1994-06-02,0,,ST00000001,,D,1,,,E0AUS00UG7,,2014-09-25,Acquired,XASX,,,,1.000000000,Delisted
0C00000LZS,0P00006Y3S,BLV,ASX,AUD,,,AU0000064164,2004-04-15,0,,ST00000001,,D,0,0,,F000000193,,2020-07-30,Other events,XASX,,,,1.000000000,Delisted
0C00000LZT,0P00006WQH,NTC,ASX,AUD,,,AU000000NTC2,1993-12-21,0,,ST00000001,,D,1,1,,E0AUS01QAR,,2019-07-01,Other events,XASX,,,,1.000000000,Delisted
0C00000LZU,0P00006WQI,NFO,ASX,AUD,,,AU000000NFO6,1994-01-05,0,,ST00000001,,D,1,,,E0AUS01CJ1,,2012-04-01,Other events,XASX,,,,1.000000000,Delisted
0C00000LZV,0P00006WQJ,OOH,ASX,AUD,,,AU000000OOH0,2000-07-28,0,,ST00000001,,D,1,,,E0AUS01C05,,2012-03-19,Privatization,XASX,,,,1.000000000,Delisted
0C00000LZX,0P0001TC97,OSLOB,ASX,AUD,,,AU0000343444,2024-07-12,0,,ST00000008,Warrants (30/06/2025),D,0,,,F00001M9G0,,2025-06-24,Other events,XASX,,,,,Delisted
0C00000LZY,0P0001O3VY,NAEO,ASX,AUD,,,AU0000197477,2021-12-14,0,,ST00000008,Warrants (31/12/2023),D,0,,,F00001D7O9,,2023-12-21,Other events,XASX,,,,,Delisted
0C00000M01,0P00006Y3W,NOP,ASX,AUD,,,AU000000NOP5,2000-06-27,0,,ST00000001,,D,1,,,F00000018Z,,2012-04-01,Other events,XASX,,,,1.000000000,Delisted
0C00000M02,0P00006WQM,NPH,ASX,AUD,,,AU000000NPH9,1985-04-04,0,,ST00000001,,D,1,,,E0AUS01QAW,,2014-09-25,Acquired,XASX,,,,1.000000000,Delisted
0C00000M04,0P0000AXAV,NZO,NZE,NZD,,,NZNZOE0010S7,1981-09-28,0,,ST00000001,,D,0,1,,E0NZL00AJV,,2024-06-26,Other events,XNZE,,,,1.000000000,Delisted
0C00000M05,0P00006WQO,NCM,ASX,AUD,,,AU000000NCM7,1987-06-04,0,,ST00000001,,D,1,1,,E0AUS00AK7,,2023-11-07,Other events,XASX,,,,1.000000000,Delisted
0C00000M05,0P0000PU6E,NCMN,ASX,AUD,,,AU00000NCMN5,2010-08-31,0,,ST00000001,Shs 2010-21.9.10 Issue 10,D,0,,,F00000JQDC,,2014-09-25,Assimilation,XASX,,,,1.000000000,Delisted
0C00000M06,0P0001MH65,YAROB,ASX,AUD,,,AU0000273864,2020-05-27,0,,ST00000008,Warrants (01/06/2023),D,0,,,F00001727E,,2023-05-29,Other events,XASX,,,,,Delisted
0C00000M06,0P0001QBWL,YAROD,ASX,AUD,,,AU0000273906,2023-01-10,0,,ST00000008,Warrants (31/12/2024),D,0,,,F00001EXKY,,2024-12-30,Other events,XASX,,,,,Delisted
0C00000M07,0P00006WQP,NHH,ASX,AUD,,,AU000000NHH6,1986-01-16,0,,ST00000001,,D,1,0,,E0AUS01JOA,,2016-10-04,Other events,XASX,,,,1.000000000,Delisted
0C00000M08,0P00006WQQ,AJC,ASX,AUD,,,AU000000AJC0,1986-07-03,0,,ST00000001,,D,1,0,,E0AUS01QAY,,2020-11-10,Other events,XASX,,,,1.000000000,Delisted
0C00000M0B,0P00006WQS,NXS,ASX,AUD,,,AU000000NXS0,2000-09-12,0,,ST00000001,,D,0,0,,E0AUS01J35,,2016-04-12,Other events,XASX,,,,1.000000000,Delisted
0C00000M0C,0P00006WQT,POS,ASX,AUD,,,AU000000POS4,1993-11-29,0,,ST00000001,,D,0,0,,E0AUS01QB0,,2025-02-20,Other events,XASX,,,,1.000000000,Delisted
0C00000M0F,0P00006WQW,NDO,ASX,AUD,,,AU000000NDO1,1999-07-30,0,,ST00000001,,D,0,0,,E0AUS01QB1,,2017-07-19,Other events,XASX,,,,1.000000000,Delisted
0C00000M0G,0P00006Y41,WKT,ASX,AUD,,,AU000000WKT6,2006-11-07,0,,ST00000001,,D,0,0,,F000000186,,2025-09-23,Other events,XASX,,,,1.000000000,Delisted
0C00000M0H,0P00006WQX,NKP,ASX,AUD,,,,2003-09-24,0,,ST00000001,,D,0,0,,E0AUS04C6Y,,2019-04-11,Other events,XASX,,,,1.000000000,Delisted
