Gcode,CompanyTicker,SecurityTicker,SeniorSecurity,SecurityType,AbreviatedSecurityDescription,ListDate_YMD,DelistDate_YMD,ListDate_DaysSince,DelistDate_DaysSince,ListDate,DelistDate,RecordCount,FullCompanyName,AbbrevCompanyName,EarliestListDate,LatestDelistDate,GICSIndustry,SIRCAIndustryClassCode,SIRCASectorCode,CompanyDelistReasonCode,CompanyRelatedGCode,CompanyDelistReasonComment,AlteredLink,MS_CompanyID,MS_SecurityID,MS_CompanyID2,MS_SecurityID2,MA_Identifier
ceq1,CEQ,CEQ,1,01,ordinary,19910801,20060705,33451,38903,01/08/1991,05/07/2006,1583,CENTRAL EQUITY LIMITED,CENTRAL EQUITY,12/06/1987,05/07/2006,40400000,19,40,A,,buyout by executive directors eddie kutner; john bourke; dennis wilson and their related parties and associates at 215 cents per share,,0C00000LFI,0P00006WDD,,,CEQ
cer2,CER,CER,1,06,stapled securities,20050817,20170626,38581,42912,17/08/2005,26/06/2017,1582,CENTRO RETAIL GROUP,CENTRO RETAIL GROUP,17/08/2005,26/06/2017,60101000,20,60,O;M;S,crf2,suspended from 05/12/2011 until delist date with last trading date 02/12/2011; follows shareholder resolution to merge into new ly listed centro retail australia {crf2} in which {cer2} represents 32.2%,,0C00000WB7,0P00009Y09,,,CER
ces2,CES,CES,1,01,ordinary,20070412,20141216,39184,41989,12/04/2007,16/12/2014,628,COAL FE RESOURCES LIMITED,COAL FE RESOURCES,12/04/2007,18/03/2019,10100000,1,10,N,,,,0C00000WB6,0P0000A1KU,,,AQJ
ces2,AQJ,AQJ,1,01,ordinary,20141217,20180318,41990,43177,17/12/2014,18/03/2018,57,AUS ASIA MINERALS LIMITED,AUS ASIA MIN LTD,12/04/2007,18/03/2019,10100000,1,10,C,,,,0C00000WB6,0P0000A1KU,,,AQJ
ces2,AQJ,AQJDA,1,01,deferred settlement,20180319,20180327,43178,43186,19/03/2018,27/03/2018,1,AUS ASIA MINERALS LIMITED,AUS ASIA MIN LTD,12/04/2007,18/03/2019,10100000,1,10,C,,,,0C00000WB6,0P0000A1KU,,,AQJ
ces2,AQJ,AQJ,1,01,ordinary,20180328,20190318,43187,43542,28/03/2018,18/03/2019,0,AUS ASIA MINERALS LIMITED,AUS ASIA MIN LTD,12/04/2007,18/03/2019,10100000,1,10,E,,,,0C00000WB6,0P0000A1KU,,,AQJ
cetf2,CET,CETF,1,07,cdi 1:1,20150626,20160428,42181,42488,26/06/2015,28/04/2016,146,MARKET VECTORS CHINAAMC A-SHARE ETF(SYN),MKTVECTCHINAASHARE,26/06/2015,,0,26,70,N,,,,,,,,CETF
cetf2,CET,CETF,1,07,cdi 1:1,20160429,20160501,42489,42491,29/04/2016,01/05/2016,1,VANECK VECTORS CHINAAMC CSI 300 ETF (SYN),VANECK CHINA ASHARE,26/06/2015,,0,26,70,N,,,,,,,,CETF
cetf2,CET,CETF,1,07,cdi 1:1,20160502,20161027,42492,42670,02/05/2016,27/10/2016,62,VANECK VECTORS CHINAAMC CSI 300 ETF (SYNTHETIC),VANECK CHINA ASHARE,26/06/2015,,0,26,70,N,,,,,,,,CETF
cetf2,CET,CETF,1,07,etf units,20161028,20191008,42671,43746,28/10/2016,08/10/2019,634,VANECK VECTORS CHINAAMC CSI 300 ETF,VANECK CHINA ASHARE,26/06/2015,,0,26,70,C,,,,,,,,CETF
cetf2,CET,CETDA,1,07,deferred settlement,20191009,20191011,43747,43749,09/10/2019,11/10/2019,3,VANECK VECTORS CHINAAMC CSI 300 ETF,VANECK CHINA ASHARE,26/06/2015,,0,26,70,C,,,,,,,,CETF
cetf2,CET,CETF,1,07,etf units,20191012,20200422,43750,43943,12/10/2019,22/04/2020,132,VANECK VECTORS CHINAAMC CSI 300 ETF,VANECK CHINA ASHARE,26/06/2015,,0,26,70,N,,,,,,,,CETF
cetf2,CET,CETF,1,07,etf units,20200423,20210722,43944,44399,23/04/2020,22/07/2021,292,VANECK VECTORS FTSE CHINA A50 ETF,VANECK CHINA A50,26/06/2015,,0,26,70,N,,,,,,,,CETF
cetf2,CET,CETF,1,07,etf units,20210723,,44400,,23/07/2021,,850,VANECK FTSE CHINA A50 ETF,VANECK CHINA A50,26/06/2015,,0,26,70,,,,,,,,,CETF
ceu1,CEU,CEUCA,1,06,stapled partly paid,20041123,20051103,38314,38659,23/11/2004,03/11/2005,239,CONNECTEAST GROUP,CONNECTEAST GROUP,23/11/2004,02/11/2011,20300000,6,20,C,,,,0C00000WB5,0P00009Y0A,,,CEU
ceu1,CEU,CEU,1,06,stapled,20051104,20111102,38660,40849,04/11/2005,02/11/2011,1491,CONNECTEAST GROUP,CONNECTEAST GROUP,23/11/2004,02/11/2011,20300000,6,20,R;S;A,,cp2 limited; through horizon roads pty ltd. With 35% cp2 limited is the largest shareholder of {ceu1},,0C00000WB5,0P00009Y0A,,,CEU
cev1,STT,STT,1,01,ordinary,19990920,20020206,36423,37293,20/09/1999,06/02/2002,492,STRATA MINING CORPORATION NL,STRATA MINING,12/12/1985,,15104030,3,15,N;Y,,,,0C00000LLZ,0P00006WHF,,,DSE
cev1,STT,STT,1,01,ordinary,20020207,20041130,37294,38321,07/02/2002,30/11/2004,577,STRATA MINING CORPORATION LIMITED,STRATA MINING,12/12/1985,,15104000,3,15,N,,,,0C00000LLZ,0P00006WHF,,,DSE
cev1,STT,STTDA,1,01,deferred settlement,20041201,20041214,38322,38335,01/12/2004,14/12/2004,8,STRATA MINING CORPORATION LIMITED,STRATA MINING,12/12/1985,,15104000,3,15,C,,,,0C00000LLZ,0P00006WHF,,,DSE
cev1,STT,STT,1,01,ordinary,20041215,20051201,38336,38687,15/12/2004,01/12/2005,163,STRATA MINING CORPORATION LIMITED,STRATA MINING,12/12/1985,,15104000,3,15,N,,,,0C00000LLZ,0P00006WHF,,,DSE
cev1,EXM,EXM,1,01,ordinary,20051202,20130612,38688,41437,02/12/2005,12/06/2013,1413,EXCALIBUR MINING CORPORATION LIMITED,EXCALIBUR MINING,12/12/1985,,15104000,3,15,N,,,,0C00000LLZ,0P00006WHF,,,DSE
cev1,EXM,EXMDA,1,01,deferred settlement,20130613,20130625,41438,41450,13/06/2013,25/06/2013,2,EXCALIBUR MINING CORPORATION LIMITED,EXCALIBUR MINING,12/12/1985,,15104000,3,15,C,,,,0C00000LLZ,0P00006WHF,,,DSE
cev1,EXM,EXM,1,01,ordinary,20130626,20160816,41451,42598,26/06/2013,16/08/2016,489,EXCALIBUR MINING CORPORATION LIMITED,EXCALIBUR MINING,12/12/1985,,15104000,3,15,C,,,,0C00000LLZ,0P00006WHF,,,DSE
cev1,EXM,EXMDC,1,01,deferred settlement,20160817,20160825,42599,42607,17/08/2016,25/08/2016,1,EXCALIBUR MINING CORPORATION LIMITED,EXCALIBUR MINING,12/12/1985,,15104000,3,15,C,,,,0C00000LLZ,0P00006WHF,,,DSE
cev1,EXM,EXM,1,01,ordinary,20160826,20161219,42608,42723,26/08/2016,19/12/2016,0,EXCALIBUR MINING CORPORATION LIMITED,EXCALIBUR MINING,12/12/1985,,15104000,3,15,N,,,,0C00000LLZ,0P00006WHF,,,DSE
cev1,DSE,DSE,1,01,ordinary,20161220,20240522,42724,45434,20/12/2016,22/05/2024,1753,DROPSUITE LIMITED,DROPSUITE LTD,12/12/1985,,45100000,21,45,C,,,,0C00000LLZ,0P00006WHF,,,DSE
cev1,DSE,DSEDD,1,01,deferred settlement,20240523,20240531,45435,45443,23/05/2024,31/05/2024,7,DROPSUITE LIMITED,DROPSUITE LTD,12/12/1985,,45100000,21,45,C,,,,0C00000LLZ,0P00006WHF,,,DSE
cev1,DSE,DSE,1,01,ordinary,20240601,,45444,,01/06/2024,,149,DROPSUITE LIMITED,DROPSUITE LTD,12/12/1985,,45100000,21,45,,,,,0C00000LLZ,0P00006WHF,,,DSE
cew1,CEW,CEW,1,01,ordinary,19991014,20030318,36447,37698,14/10/1999,18/03/2003,735,CRANSWICK PREMIUM WINES LIMITED,CRANSWICK PREMIUM,25/11/1997,18/03/2003,30200000,13,30,M,etw1,evans & tate limited,,0C000037XH,0P0001D0HH,,,CEW
cey1,CEY,CEY,1,01,ordinary,19940804,20101130,34550,40512,04/08/1994,30/11/2010,2711,CENTENNIAL COAL COMPANY LIMITED,CENTENNIAL COAL,04/08/1994,30/11/2010,10100000,1,10,A,,banpu minerals (singapore) pte ltd,,0C00000LFH,0P00006WDB,,,CEY
cfa1,CFA,CFA,1,01,ordinary,19931214,20030713,34317,37815,14/12/1993,13/07/2003,337,CONSOLIDATED FOODS AUSTRALIA LIMITED,CONSOLIDATED FOODS,14/12/1993,10/06/2005,30200000,13,30,N,,,,0C00000LVR,0P00006WNX,,,LAL
cfa1,LAL,LAL,1,01,ordinary,20030714,20050610,37816,38513,14/07/2003,10/06/2005,345,LOWAN AUSTRALIA LIMITED,LOWAN AUSTRALIA,14/12/1993,10/06/2005,30200000,13,30,A,,,,0C00000LVR,0P00006WNX,,,LAL
cfh2,CFH,CFH,1,01,nsx - ordinary,20180209,,43140,,09/02/2018,,0,CHINA FINANCE HOLDING COMPANY LIMITED,CHINA FINANCE HLD,09/02/2018,,0,26,70,,,,,,,,,
cfk1,CFK,CFK,1,01,ordinary,20050404,20060521,38446,38858,04/04/2005,21/05/2006,279,CHILDS FAMILY KINDERGARTENS LIMITED,CHILDS FAMILY KINDER,04/04/2005,01/09/2009,25300000,9,25,N,,,,0C00000LE1,,,,CFK
